Date,Squats,Deadlifts,Power Clean,Presses,Bench Presses,Chin-ups,Notes
1/8/2013,"105x5x2,125x5x2",135x5,,,,,
1/15/2013,125x5x3,175x5,,80x5x3,,1,
1/17/2013,145x5x3,155x5,,,90x5x3,,
1/20/2013,155x5x3,195x5,,90x5x3,,,
1/22/2013,165x5x3,215x5,,,110x5,,
1/24/2013,175x5x3,235x5,,100x5x3,,1,
1/27/2013,185x5x3,255x5,,,110x5x3,,
1/29/2013,195x5x3,275x5,,110x5x3,,,
1/31/2013,205x5x3,295x5,,,130x5x3,,
2/3/2013,215x5x3,315x5,,110x5,,1,
2/5/2013,225x5x3,315x5,,,140x5x3,1,
2/8/2013,235x5x3,315x2,,110x5,,,
2/10/2013,240x5x3,"315x3,315x2",,,150x5x3,,
2/12/2013,245x5x3,325x3,,120x5x3,,,busted callus
2/15/2013,255x5x3,,,,160x5x3,,
2/17/2013,265x5x3,335x5,,125x5x3,,,
2/19/2013,,,,,,,Sick
2/23/2013,265x5x3,335x5,,,160x5x3,,
2/25/2013,275x5x3,345x5,,125x5,,2,
2/27/2013,280x5x3,,65x3x5,,165x5x3,,
3/2/2013,285x5x3,350x5,,115x5x3,,,
3/4/2013,290x5x3,,115x3x5,,175x5x3,3,
3/6/2013,295x5x3,360x5,,120x5x3,,1,
3/10/2013,300x5x3,,125x3x5,,180x5x3,1,
3/12/2013,300x5x3,365x5,,125x5x3,,,
3/14/2013,225x5,,135x3x5,,185x5x3,,No time for squats
3/17/2013,"310x5,310x2,310x5",375x5,,130x5x3,,,Failed out of the squat
3/21/2013,,,135x5x3,,190x5,,
3/19/2013,"310x5,310x5,310x3",380x5,,135x5x3,,,Knee pain
3/24/2013,310x5x2,,135x3x5,,"190x5x2,190x4",,Knee pain
3/26/2013,310x5,390x5,,140x5x3,,,Knees
3/31/2013,225x5,,140x3x5,,135x5x3,,"in MA, short workout, started smoking regularly again"
4/2/2013,225x5x3,,145x3x5,,"195x5x2,195x3",,
4/4/2013,225x10x2,400x5,,"150x4,140x4,135x5",,,
4/7/2013,225x10x2,,150x3x5,,"195x5x2,195x4",,
4/9/2013,235x5x2,405x5,,"145x4,145x3",,,
4/11/2013,,,,,,,"Missed workout, partying"
4/14/2013,225x7,,,,"195x4,195x3",,"No sleep, no barbells"
4/16/2013,260x5,415x2,,135x5x3,,,Morning workout
4/18/2013,,,,,,,Lazy
4/21/2013,265x5x3,410x4,,135x5x3,,,"Tweaking right wrist on the press, catastrophic failure on final rep of deadlift "
4/23/2013,275x5x3,,155x3x5,,195x5x3,,Quit smoking (killin it)
4/25/2013,280x5x3,410x5,,"140x4,135x5,137.5x5",,,
4/29/2013,280x5x2,,,,200x5x3,,
5/1/2013,280x5x3,,165x3x2,140x5x3,,,